<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аэрофлот;60;20231116;090000;38.98;38.98;38.98;38.98;12950;0
Аэрофлот;60;20231116;100000;38.73;39.36;38.71;38.89;233269;0
Аэрофлот;60;20231116;110000;38.89;38.95;38.83;38.83;57324;0
Аэрофлот;60;20231116;120000;38.84;38.84;38.67;38.75;76244;0
Аэрофлот;60;20231116;130000;38.75;38.83;38.71;38.8;26267;0
Аэрофлот;60;20231116;140000;38.79;38.81;38.71;38.8;35868;0
Аэрофлот;60;20231116;150000;38.8;38.81;38.75;38.79;18803;0
Аэрофлот;60;20231116;160000;38.81;38.81;38.73;38.8;17387;0
Аэрофлот;60;20231116;170000;38.81;38.84;38.59;38.63;36904;0
Аэрофлот;60;20231116;180000;38.63;38.63;38.4;38.5;47716;0
Аэрофлот;60;20231116;190000;38.5;38.58;38.21;38.26;32379;0
Аэрофлот;60;20231116;200000;38.28;38.39;38.15;38.26;21859;0
Аэрофлот;60;20231116;210000;38.26;38.31;38.22;38.24;11887;0
Аэрофлот;60;20231116;220000;38.26;38.29;38.24;38.29;17179;0
Аэрофлот;60;20231116;230000;38.29;38.29;38.28;38.28;5075;0
Аэрофлот;60;20231117;090000;38.3;38.3;38.3;38.3;1150;0
Аэрофлот;60;20231117;100000;38.3;38.35;38.02;38.09;71652;0
Аэрофлот;60;20231117;110000;38.1;38.16;37.91;37.99;114457;0
Аэрофлот;60;20231117;120000;37.98;38.14;37.95;38.1;32903;0
Аэрофлот;60;20231117;130000;38.1;38.18;38.05;38.07;23445;0
Аэрофлот;60;20231117;140000;38.07;38.32;38.05;38.29;39766;0
Аэрофлот;60;20231117;150000;38.29;38.29;38.11;38.15;26447;0
Аэрофлот;60;20231117;160000;38.18;38.31;38.14;38.29;31786;0
Аэрофлот;60;20231117;170000;38.29;38.65;38.27;38.54;90476;0
Аэрофлот;60;20231117;180000;38.54;38.54;38.5;38.51;88434;0
Аэрофлот;60;20231117;190000;38.62;38.62;38.35;38.51;19352;0
Аэрофлот;60;20231117;200000;38.51;38.53;38.37;38.42;17307;0
Аэрофлот;60;20231117;210000;38.42;38.48;38.41;38.43;8958;0
Аэрофлот;60;20231117;220000;38.47;38.6;38.43;38.59;13122;0
Аэрофлот;60;20231117;230000;38.58;38.6;38.5;38.54;11422;0
Аэрофлот;60;20231120;090000;38.54;38.54;38.54;38.54;741;0
Аэрофлот;60;20231120;100000;38.54;38.85;38.51;38.68;127166;0
Аэрофлот;60;20231120;110000;38.68;38.73;38.51;38.67;70936;0
Аэрофлот;60;20231120;120000;38.67;38.74;38.4;38.45;70767;0
Аэрофлот;60;20231120;130000;38.43;38.53;38.4;38.45;34920;0
Аэрофлот;60;20231120;140000;38.45;38.58;38.4;38.43;24604;0
Аэрофлот;60;20231120;150000;38.43;38.58;38.36;38.4;55094;0
Аэрофлот;60;20231120;160000;38.4;38.48;38.38;38.45;20212;0
Аэрофлот;60;20231120;170000;38.45;38.47;38.38;38.41;18557;0
Аэрофлот;60;20231120;180000;38.42;38.48;38.39;38.39;19493;0
Аэрофлот;60;20231120;190000;38.4;38.58;38.39;38.5;41554;0
Аэрофлот;60;20231120;200000;38.51;38.55;38.49;38.54;8275;0
Аэрофлот;60;20231120;210000;38.54;38.59;38.52;38.56;15277;0
Аэрофлот;60;20231120;220000;38.56;38.59;38.54;38.56;4529;0
Аэрофлот;60;20231120;230000;38.56;38.58;38.56;38.57;6443;0
Аэрофлот;60;20231121;090000;38.43;38.43;38.43;38.43;699;0
Аэрофлот;60;20231121;100000;38.43;38.51;38.37;38.5;51977;0
Аэрофлот;60;20231121;110000;38.49;38.57;38.26;38.33;63478;0
Аэрофлот;60;20231121;120000;38.33;38.45;38.31;38.41;37392;0
Аэрофлот;60;20231121;130000;38.41;38.42;38.31;38.31;27774;0
Аэрофлот;60;20231121;140000;38.32;38.49;38.29;38.49;31452;0
Аэрофлот;60;20231121;150000;38.49;38.55;38.47;38.51;17713;0
Аэрофлот;60;20231121;160000;38.51;38.55;38.44;38.55;25889;0
Аэрофлот;60;20231121;170000;38.54;38.95;38.54;38.93;142022;0
Аэрофлот;60;20231121;180000;38.93;38.95;38.77;38.8;30900;0
Аэрофлот;60;20231121;190000;38.8;38.93;38.76;38.89;22104;0
Аэрофлот;60;20231121;200000;38.89;39.3;38.85;39.18;78549;0
Аэрофлот;60;20231121;210000;39.19;39.27;39.03;39.07;39587;0
Аэрофлот;60;20231121;220000;39.07;39.12;39.04;39.12;6047;0
Аэрофлот;60;20231121;230000;39.11;39.14;39.05;39.11;20429;0
Аэрофлот;60;20231122;090000;39.25;39.25;39.25;39.25;1089;0
Аэрофлот;60;20231122;100000;39.25;39.3;39.04;39.13;124637;0
Аэрофлот;60;20231122;110000;39.13;39.19;39.02;39.04;42277;0
Аэрофлот;60;20231122;120000;39.06;39.08;38.87;38.87;42551;0
Аэрофлот;60;20231122;130000;38.88;38.91;38.8;38.89;19096;0
Аэрофлот;60;20231122;140000;38.87;38.87;38.77;38.78;14134;0
Аэрофлот;60;20231122;150000;38.8;38.8;38.64;38.74;53194;0
Аэрофлот;60;20231122;160000;38.74;38.76;38.55;38.58;43896;0
Аэрофлот;60;20231122;170000;38.6;38.6;38.47;38.55;79346;0
Аэрофлот;60;20231122;180000;38.55;38.61;38.52;38.61;35361;0
Аэрофлот;60;20231122;190000;38.55;38.79;38.54;38.69;40971;0
Аэрофлот;60;20231122;200000;38.66;38.7;38.65;38.69;9226;0
Аэрофлот;60;20231122;210000;38.68;39.09;38.68;39.05;79142;0
Аэрофлот;60;20231122;220000;39.02;39.09;39;39.06;18663;0
Аэрофлот;60;20231122;230000;39.05;39.06;38.98;39.01;19618;0
Аэрофлот;60;20231123;090000;39;39;39;39;297;0
Аэрофлот;60;20231123;100000;39;39;38.72;38.75;93791;0
Аэрофлот;60;20231123;110000;38.75;38.82;38.66;38.73;76857;0
Аэрофлот;60;20231123;120000;38.73;38.77;38.65;38.67;37131;0
Аэрофлот;60;20231123;130000;38.7;38.7;38.51;38.68;58603;0
Аэрофлот;60;20231123;140000;38.67;38.76;38.66;38.7;28142;0
Аэрофлот;60;20231123;150000;38.7;38.72;38.55;38.61;38300;0
Аэрофлот;60;20231123;160000;38.59;38.7;38.59;38.63;32404;0
Аэрофлот;60;20231123;170000;38.62;38.73;38.58;38.69;12878;0
Аэрофлот;60;20231123;180000;38.68;38.71;38.63;38.66;10409;0
Аэрофлот;60;20231123;190000;38.68;38.68;38.5;38.52;33312;0
Аэрофлот;60;20231123;200000;38.52;38.61;38.33;38.59;54200;0
Аэрофлот;60;20231123;210000;38.58;38.64;38.53;38.53;7226;0
Аэрофлот;60;20231123;220000;38.55;38.75;38.53;38.68;43144;0
Аэрофлот;60;20231123;230000;38.68;38.68;38.65;38.67;11144;0
Аэрофлот;60;20231124;090000;38.53;38.53;38.53;38.53;2981;0
Аэрофлот;60;20231124;100000;38.55;38.74;38.35;38.37;165397;0
Аэрофлот;60;20231124;110000;38.37;38.46;38.34;38.41;104470;0
Аэрофлот;60;20231124;120000;38.38;38.43;38.16;38.34;110214;0
Аэрофлот;60;20231124;130000;38.35;38.35;38.22;38.3;21507;0
Аэрофлот;60;20231124;140000;38.26;38.32;38.26;38.3;26667;0
Аэрофлот;60;20231124;150000;38.28;38.31;38.2;38.25;44180;0
Аэрофлот;60;20231124;160000;38.25;38.34;38.23;38.33;26492;0
Аэрофлот;60;20231124;170000;38.33;38.37;38.27;38.36;17958;0
Аэрофлот;60;20231124;180000;38.34;38.38;38.22;38.22;27530;0
Аэрофлот;60;20231124;190000;38.25;38.36;38.25;38.32;11092;0
Аэрофлот;60;20231124;200000;38.32;38.37;38.29;38.35;20645;0
Аэрофлот;60;20231124;210000;38.35;38.35;38.29;38.34;5747;0
Аэрофлот;60;20231124;220000;38.35;38.35;38.3;38.33;6709;0
Аэрофлот;60;20231124;230000;38.33;38.74;38.31;38.51;88428;0
Аэрофлот;60;20231127;090000;38.51;38.51;38.51;38.51;5539;0
Аэрофлот;60;20231127;100000;38.52;38.66;38.33;38.38;88228;0
Аэрофлот;60;20231127;110000;38.36;38.4;38.25;38.37;49135;0
Аэрофлот;60;20231127;120000;38.38;38.39;38.25;38.25;48392;0
