<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВТБ ао;60;20231116;090000;0.02445;0.02445;0.02445;0.02445;10124;0
ВТБ ао;60;20231116;100000;0.02444;0.024575;0.02437;0.02445;949559;0
ВТБ ао;60;20231116;110000;0.02444;0.02449;0.024335;0.02438;406864;0
ВТБ ао;60;20231116;120000;0.02438;0.02443;0.0243;0.024405;294326;0
ВТБ ао;60;20231116;130000;0.024405;0.02442;0.024315;0.024355;242445;0
ВТБ ао;60;20231116;140000;0.024345;0.024435;0.0243;0.024425;402146;0
ВТБ ао;60;20231116;150000;0.024425;0.02443;0.02434;0.024365;152424;0
ВТБ ао;60;20231116;160000;0.02436;0.024395;0.02432;0.024375;178926;0
ВТБ ао;60;20231116;170000;0.02437;0.02441;0.02426;0.024295;364226;0
ВТБ ао;60;20231116;180000;0.024295;0.0243;0.024205;0.02428;384501;0
ВТБ ао;60;20231116;190000;0.02427;0.02427;0.02413;0.02416;391659;0
ВТБ ао;60;20231116;200000;0.02416;0.024185;0.02411;0.02417;220923;0
ВТБ ао;60;20231116;210000;0.02417;0.024195;0.024155;0.024185;76452;0
ВТБ ао;60;20231116;220000;0.02419;0.02419;0.02413;0.02414;89536;0
ВТБ ао;60;20231116;230000;0.024135;0.02416;0.0241;0.02415;129261;0
ВТБ ао;60;20231117;090000;0.024145;0.024145;0.024145;0.024145;13303;0
ВТБ ао;60;20231117;100000;0.02413;0.024275;0.02409;0.024245;837036;0
ВТБ ао;60;20231117;110000;0.024245;0.024255;0.02394;0.024105;1790758;0
ВТБ ао;60;20231117;120000;0.0241;0.02419;0.024055;0.024175;651435;0
ВТБ ао;60;20231117;130000;0.02417;0.02424;0.02414;0.024155;364080;0
ВТБ ао;60;20231117;140000;0.02416;0.02431;0.0241;0.024305;445724;0
ВТБ ао;60;20231117;150000;0.024305;0.02436;0.02427;0.024335;486694;0
ВТБ ао;60;20231117;160000;0.02433;0.02434;0.02426;0.02431;195004;0
ВТБ ао;60;20231117;170000;0.024315;0.02439;0.024315;0.02438;364263;0
ВТБ ао;60;20231117;180000;0.024375;0.0244;0.024355;0.02438;287683;0
ВТБ ао;60;20231117;190000;0.02438;0.02444;0.024345;0.024365;76878;0
ВТБ ао;60;20231117;200000;0.024365;0.024395;0.024325;0.02433;113698;0
ВТБ ао;60;20231117;210000;0.02433;0.024335;0.024285;0.024335;64555;0
ВТБ ао;60;20231117;220000;0.024335;0.024385;0.02433;0.02437;139103;0
ВТБ ао;60;20231117;230000;0.02437;0.024385;0.024335;0.024385;122087;0
ВТБ ао;60;20231120;090000;0.02445;0.02445;0.02445;0.02445;15073;0
ВТБ ао;60;20231120;100000;0.024445;0.024595;0.02439;0.024455;1071009;0
ВТБ ао;60;20231120;110000;0.024455;0.02449;0.024365;0.024455;529019;0
ВТБ ао;60;20231120;120000;0.024455;0.02448;0.024365;0.024385;315861;0
ВТБ ао;60;20231120;130000;0.024385;0.024385;0.024285;0.02432;376241;0
ВТБ ао;60;20231120;140000;0.024305;0.02439;0.024305;0.024365;201869;0
ВТБ ао;60;20231120;150000;0.02436;0.024445;0.02434;0.024425;315663;0
ВТБ ао;60;20231120;160000;0.024425;0.024425;0.024305;0.02434;296183;0
ВТБ ао;60;20231120;170000;0.02434;0.024365;0.0243;0.02434;201646;0
ВТБ ао;60;20231120;180000;0.024345;0.02435;0.024275;0.024275;267078;0
ВТБ ао;60;20231120;190000;0.02425;0.02431;0.02422;0.024275;178820;0
ВТБ ао;60;20231120;200000;0.02428;0.02429;0.02425;0.024265;93404;0
ВТБ ао;60;20231120;210000;0.024265;0.02431;0.024255;0.02428;90286;0
ВТБ ао;60;20231120;220000;0.02428;0.0243;0.02427;0.02429;39814;0
ВТБ ао;60;20231120;230000;0.024285;0.024415;0.024275;0.024415;272903;0
ВТБ ао;60;20231121;090000;0.02434;0.02434;0.02434;0.02434;5243;0
ВТБ ао;60;20231121;100000;0.02434;0.024395;0.0243;0.02434;462906;0
ВТБ ао;60;20231121;110000;0.02434;0.024395;0.02428;0.0243;420923;0
