<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГАЗПРОМ ао;60;20231116;090000;166.26;166.26;166.26;166.26;2285;0
ГАЗПРОМ ао;60;20231116;100000;166.4;166.49;165.89;166.27;234375;0
ГАЗПРОМ ао;60;20231116;110000;166.27;166.4;165.92;166.02;100626;0
ГАЗПРОМ ао;60;20231116;120000;166.01;166.25;165.92;166.11;67839;0
ГАЗПРОМ ао;60;20231116;130000;166.1;166.12;165.96;166.04;56470;0
ГАЗПРОМ ао;60;20231116;140000;166.05;166.24;165.9;166.1;111290;0
ГАЗПРОМ ао;60;20231116;150000;166.1;166.39;166.09;166.26;75690;0
ГАЗПРОМ ао;60;20231116;160000;166.27;166.81;166.26;166.69;140500;0
ГАЗПРОМ ао;60;20231116;170000;166.7;166.81;166.1;166.28;95154;0
ГАЗПРОМ ао;60;20231116;180000;166.28;166.44;165.92;166.44;105000;0
ГАЗПРОМ ао;60;20231116;190000;166.44;166.44;165.88;166.08;62540;0
ГАЗПРОМ ао;60;20231116;200000;166.09;166.1;165.7;165.94;70973;0
ГАЗПРОМ ао;60;20231116;210000;165.9;165.97;165.7;165.9;36742;0
ГАЗПРОМ ао;60;20231116;220000;165.86;165.9;165.63;165.67;39417;0
ГАЗПРОМ ао;60;20231116;230000;165.66;165.77;165.2;165.48;95654;0
ГАЗПРОМ ао;60;20231117;090000;165.4;165.4;165.4;165.4;7364;0
ГАЗПРОМ ао;60;20231117;100000;165.45;165.46;164.69;164.94;456297;0
ГАЗПРОМ ао;60;20231117;110000;164.98;165;163.48;164.17;503751;0
ГАЗПРОМ ао;60;20231117;120000;164.17;164.4;163.82;164.34;210478;0
ГАЗПРОМ ао;60;20231117;130000;164.34;164.35;163.88;164;122832;0
ГАЗПРОМ ао;60;20231117;140000;164;164.68;163.94;164.3;172180;0
ГАЗПРОМ ао;60;20231117;150000;164.3;164.49;164.2;164.34;114746;0
ГАЗПРОМ ао;60;20231117;160000;164.35;164.6;164.18;164.4;171413;0
ГАЗПРОМ ао;60;20231117;170000;164.39;165.15;164.39;165.13;222176;0
ГАЗПРОМ ао;60;20231117;180000;165.14;165.74;164.96;165.74;189403;0
ГАЗПРОМ ао;60;20231117;190000;165.43;165.65;165.01;165.43;79032;0
ГАЗПРОМ ао;60;20231117;200000;165.41;165.48;165.23;165.33;31506;0
ГАЗПРОМ ао;60;20231117;210000;165.31;165.35;165.11;165.15;29560;0
ГАЗПРОМ ао;60;20231117;220000;165.16;165.41;165.15;165.21;18510;0
ГАЗПРОМ ао;60;20231117;230000;165.22;165.46;164.8;165.31;90170;0
ГАЗПРОМ ао;60;20231120;090000;165.2;165.2;165.2;165.2;1877;0
ГАЗПРОМ ао;60;20231120;100000;165.24;166.64;164.64;166.03;554970;0
ГАЗПРОМ ао;60;20231120;110000;166.02;166.2;165.3;166.09;149534;0
ГАЗПРОМ ао;60;20231120;120000;166.09;166.29;165.69;165.79;71832;0
ГАЗПРОМ ао;60;20231120;130000;165.8;165.8;165.52;165.56;58105;0
ГАЗПРОМ ао;60;20231120;140000;165.58;165.92;165.56;165.79;59880;0
ГАЗПРОМ ао;60;20231120;150000;165.8;165.9;165.59;165.69;65182;0
ГАЗПРОМ ао;60;20231120;160000;165.7;165.85;165.64;165.82;33321;0
ГАЗПРОМ ао;60;20231120;170000;165.81;165.87;165.21;165.83;94430;0
ГАЗПРОМ ао;60;20231120;180000;165.84;165.95;165.51;165.88;83144;0
ГАЗПРОМ ао;60;20231120;190000;165.9;165.9;165.61;165.67;20081;0
ГАЗПРОМ ао;60;20231120;200000;165.67;165.69;165.55;165.62;24228;0
ГАЗПРОМ ао;60;20231120;210000;165.6;165.7;165.55;165.64;14093;0
ГАЗПРОМ ао;60;20231120;220000;165.65;165.82;165.55;165.59;16604;0
ГАЗПРОМ ао;60;20231120;230000;165.56;165.63;165.51;165.51;17585;0
ГАЗПРОМ ао;60;20231121;090000;165.4;165.4;165.4;165.4;2452;0
ГАЗПРОМ ао;60;20231121;100000;165.39;165.52;164.85;165.07;265799;0
ГАЗПРОМ ао;60;20231121;110000;165.08;165.17;164.69;165;110867;0
ГАЗПРОМ ао;60;20231121;120000;165.01;165.39;164.95;165.05;62694;0
ГАЗПРОМ ао;60;20231121;130000;165.06;165.15;164.92;165.12;57426;0
ГАЗПРОМ ао;60;20231121;140000;165.12;165.46;165.03;165.31;54105;0
ГАЗПРОМ ао;60;20231121;150000;165.31;165.39;165.01;165.06;43766;0
ГАЗПРОМ ао;60;20231121;160000;165.05;165.07;164.5;164.88;177146;0
ГАЗПРОМ ао;60;20231121;170000;164.87;165.28;164.87;165.16;71244;0
ГАЗПРОМ ао;60;20231121;180000;165.18;165.68;165.16;165.68;133164;0
