<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ИнтерРАОао;60;20231116;090000;4.253;4.253;4.253;4.253;974;0
ИнтерРАОао;60;20231116;100000;4.235;4.259;4.228;4.248;84814;0
ИнтерРАОао;60;20231116;110000;4.248;4.255;4.237;4.2505;54789;0
ИнтерРАОао;60;20231116;120000;4.2485;4.255;4.245;4.2535;59000;0
ИнтерРАОао;60;20231116;130000;4.2535;4.256;4.245;4.2465;68179;0
ИнтерРАОао;60;20231116;140000;4.2455;4.26;4.2455;4.259;74718;0
ИнтерРАОао;60;20231116;150000;4.259;4.264;4.2515;4.253;41917;0
ИнтерРАОао;60;20231116;160000;4.2545;4.2635;4.252;4.259;41829;0
ИнтерРАОао;60;20231116;170000;4.259;4.2695;4.24;4.248;67434;0
ИнтерРАОао;60;20231116;180000;4.2505;4.253;4.2145;4.2145;140217;0
ИнтерРАОао;60;20231116;190000;4.2125;4.2225;4.197;4.218;102812;0
ИнтерРАОао;60;20231116;200000;4.218;4.225;4.211;4.223;30232;0
ИнтерРАОао;60;20231116;210000;4.223;4.2275;4.212;4.2165;13115;0
ИнтерРАОао;60;20231116;220000;4.2165;4.2235;4.212;4.221;20734;0
ИнтерРАОао;60;20231116;230000;4.22;4.222;4.2125;4.214;9262;0
ИнтерРАОао;60;20231117;090000;4.2135;4.2135;4.2135;4.2135;302;0
ИнтерРАОао;60;20231117;100000;4.212;4.2275;4.1905;4.2195;178570;0
ИнтерРАОао;60;20231117;110000;4.22;4.228;4.1655;4.1675;167093;0
ИнтерРАОао;60;20231117;120000;4.1675;4.1885;4.1635;4.1755;125605;0
ИнтерРАОао;60;20231117;130000;4.1755;4.1915;4.1715;4.1785;66901;0
ИнтерРАОао;60;20231117;140000;4.1785;4.197;4.1755;4.187;99134;0
ИнтерРАОао;60;20231117;150000;4.187;4.221;4.187;4.206;80152;0
ИнтерРАОао;60;20231117;160000;4.2065;4.213;4.2015;4.21;41966;0
ИнтерРАОао;60;20231117;170000;4.21;4.2275;4.2085;4.227;47059;0
ИнтерРАОао;60;20231117;180000;4.2255;4.2265;4.215;4.2215;35227;0
