<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;60;20231116;090000;277.6;277.6;277.6;277.6;181;0
МТС-ао;60;20231116;100000;277.4;279;276.1;277.3;38390;0
МТС-ао;60;20231116;110000;277.3;279.55;277.25;279.05;24908;0
МТС-ао;60;20231116;120000;279.1;279.25;277.35;278.45;24487;0
МТС-ао;60;20231116;130000;278.45;279.5;278.25;279.05;16253;0
МТС-ао;60;20231116;140000;279;279;277.7;278.65;11342;0
МТС-ао;60;20231116;150000;278.7;279.8;272.7;273;188951;0
МТС-ао;60;20231116;160000;273;274.9;272.8;273.6;42233;0
МТС-ао;60;20231116;170000;273.6;274.4;271.3;271.9;70863;0
МТС-ао;60;20231116;180000;271.9;272.45;270.85;272.45;76086;0
МТС-ао;60;20231116;190000;272.25;272.25;271.2;271.6;15667;0
МТС-ао;60;20231116;200000;271.65;271.7;270.5;270.85;16637;0
МТС-ао;60;20231116;210000;270.85;271.4;270.5;271.4;5900;0
МТС-ао;60;20231116;220000;271.4;271.5;270.8;271.3;6223;0
МТС-ао;60;20231116;230000;271.25;271.35;270.9;271.05;4323;0
МТС-ао;60;20231117;090000;271.5;271.5;271.5;271.5;264;0
МТС-ао;60;20231117;100000;271.2;271.65;269.15;269.8;51156;0
МТС-ао;60;20231117;110000;269.8;269.9;266.7;267.85;81763;0
МТС-ао;60;20231117;120000;267.9;268.6;267.55;268.55;34085;0
МТС-ао;60;20231117;130000;268.5;268.7;267.7;267.8;26165;0
МТС-ао;60;20231117;140000;267.8;269;267.8;268.95;27559;0
МТС-ао;60;20231117;150000;269;269.55;268.7;269.35;33756;0
МТС-ао;60;20231117;160000;269.3;269.5;269.25;269.45;18924;0
МТС-ао;60;20231117;170000;269.5;270.2;269.3;269.65;23076;0
МТС-ао;60;20231117;180000;269.65;270.4;268.7;270.4;45962;0
МТС-ао;60;20231117;190000;270.3;270.5;269.75;270.25;11336;0
МТС-ао;60;20231117;200000;270.45;270.6;269.9;269.9;4518;0
МТС-ао;60;20231117;210000;269.9;270.1;269.6;269.95;2853;0
МТС-ао;60;20231117;220000;270.1;270.1;269;269.55;6166;0
МТС-ао;60;20231117;230000;269.55;269.55;269;269.05;3487;0
МТС-ао;60;20231120;090000;269.5;269.5;269.5;269.5;228;0
МТС-ао;60;20231120;100000;269.5;270.95;268.8;269.6;24263;0
МТС-ао;60;20231120;110000;269.5;270.75;269.2;270.7;16777;0
