<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк;60;20231116;090000;282.4;282.4;282.4;282.4;4190;0
Сбербанк;60;20231116;100000;282.4;283.69;281.77;282.52;401319;0
Сбербанк;60;20231116;110000;282.5;283.49;281.7;282.09;298745;0
Сбербанк;60;20231116;120000;282.09;282.3;281.5;281.93;204609;0
Сбербанк;60;20231116;130000;281.96;282.43;281.52;281.7;103479;0
Сбербанк;60;20231116;140000;281.7;282.86;281.2;282.86;177795;0
Сбербанк;60;20231116;150000;282.85;283;282.2;282.64;111572;0
Сбербанк;60;20231116;160000;282.65;282.97;282.35;282.93;96742;0
Сбербанк;60;20231116;170000;282.9;283.26;281.81;281.99;228223;0
Сбербанк;60;20231116;180000;281.99;282.03;280.02;281.47;398062;0
Сбербанк;60;20231116;190000;281.4;281.45;280.58;281.24;104391;0
Сбербанк;60;20231116;200000;281.24;281.28;280.64;280.74;61962;0
Сбербанк;60;20231116;210000;280.74;280.85;280.6;280.7;37858;0
Сбербанк;60;20231116;220000;280.65;280.71;280.01;280.23;134859;0
Сбербанк;60;20231116;230000;280.23;280.23;279.56;279.7;105854;0
Сбербанк;60;20231117;090000;279.7;279.7;279.7;279.7;3971;0
Сбербанк;60;20231117;100000;279.69;281.79;279.3;281.68;556802;0
Сбербанк;60;20231117;110000;281.65;281.9;278.66;279.41;649610;0
Сбербанк;60;20231117;120000;279.42;280.95;279.21;280.54;258904;0
Сбербанк;60;20231117;130000;280.55;281.29;280.17;280.33;228661;0
Сбербанк;60;20231117;140000;280.34;281.55;280.06;281.05;142523;0
Сбербанк;60;20231117;150000;281.1;282.3;280.46;282.16;286831;0
Сбербанк;60;20231117;160000;282.15;282.35;281.35;282.22;222635;0
Сбербанк;60;20231117;170000;282.24;282.5;281.86;282.43;288894;0
Сбербанк;60;20231117;180000;282.43;282.5;281.95;282;153115;0
Сбербанк;60;20231117;190000;281.8;282.5;281.8;282;98919;0
Сбербанк;60;20231117;200000;281.98;282.09;281.58;281.97;54680;0
Сбербанк;60;20231117;210000;281.95;281.97;281.6;281.79;30615;0
Сбербанк;60;20231117;220000;281.79;281.83;281.46;281.53;95171;0
Сбербанк;60;20231117;230000;281.52;281.8;281.13;281.6;60901;0
Сбербанк;60;20231120;090000;281.96;281.96;281.96;281.96;7120;0
Сбербанк;60;20231120;100000;281.8;283.49;281.61;282.44;613705;0
Сбербанк;60;20231120;110000;282.42;283.21;281.77;282.96;259823;0
Сбербанк;60;20231120;120000;282.98;283.45;282.55;282.79;147675;0
Сбербанк;60;20231120;130000;282.79;282.97;282.3;282.46;117944;0
Сбербанк;60;20231120;140000;282.46;283;282.27;282.78;113781;0
Сбербанк;60;20231120;150000;282.77;284.2;282.73;283.62;464145;0
Сбербанк;60;20231120;160000;283.61;284.08;283.02;283.72;199295;0
Сбербанк;60;20231120;170000;283.7;284.1;283.23;283.71;220587;0
Сбербанк;60;20231120;180000;283.7;283.75;282.84;282.84;180576;0
Сбербанк;60;20231120;190000;282.97;283.47;282.8;282.94;73907;0
Сбербанк;60;20231120;200000;282.97;283.31;282.92;283.09;26320;0
Сбербанк;60;20231120;210000;283.11;283.32;282.97;283.32;36414;0
Сбербанк;60;20231120;220000;283.32;283.32;283.06;283.24;39519;0
Сбербанк;60;20231120;230000;283.24;283.32;282.91;282.91;28290;0
