<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЯНДЕКС;60;20240724;090000;4542;4542;4542;4542;27901;0
ЯНДЕКС;60;20240724;100000;4541;4542;4195.5;4249.5;1820602;0
ЯНДЕКС;60;20240724;110000;4249;4274;4231.5;4241;764926;0
ЯНДЕКС;60;20240724;120000;4241.5;4248;4155.5;4182.5;522916;0
ЯНДЕКС;60;20240724;130000;4182;4192.5;4151;4177;384845;0
ЯНДЕКС;60;20240724;140000;4177.5;4180.5;4111;4127.5;512849;0
ЯНДЕКС;60;20240724;150000;4128.5;4130;4105;4112;284998;0
ЯНДЕКС;60;20240724;160000;4111;4158;4110.5;4119;433993;0
ЯНДЕКС;60;20240724;170000;4119;4129;4107.5;4116.5;147553;0
ЯНДЕКС;60;20240724;180000;4116.5;4128;4100;4111.5;137879;0
ЯНДЕКС;60;20240724;190000;4111.5;4150;4104;4147.5;110394;0
ЯНДЕКС;60;20240724;200000;4147;4149;4123.5;4140;56947;0
ЯНДЕКС;60;20240724;210000;4140.5;4150;4129;4142;37130;0
ЯНДЕКС;60;20240724;220000;4140;4150;4137;4148.5;36929;0
ЯНДЕКС;60;20240724;230000;4148.5;4150;4141.5;4148.5;20920;0
ЯНДЕКС;60;20240725;090000;4153.5;4153.5;4153.5;4153.5;949;0
ЯНДЕКС;60;20240725;100000;4154.5;4186;4077;4099.5;584380;0
ЯНДЕКС;60;20240725;110000;4099.5;4103;4070;4084;220189;0
ЯНДЕКС;60;20240725;120000;4083;4105;4079;4096;127336;0
ЯНДЕКС;60;20240725;130000;4097;4117.5;4096;4108;164100;0
ЯНДЕКС;60;20240725;140000;4108;4125;4095;4113.5;168656;0
ЯНДЕКС;60;20240725;150000;4114;4115;4098.5;4109;79065;0
ЯНДЕКС;60;20240725;160000;4108;4124.5;4097;4120;230397;0
ЯНДЕКС;60;20240725;170000;4120;4124.5;4112;4113.5;78319;0
ЯНДЕКС;60;20240725;180000;4113.5;4146;4111.5;4135;174608;0
ЯНДЕКС;60;20240725;190000;4135;4136;4125;4130;20762;0
ЯНДЕКС;60;20240725;200000;4129.5;4135;4126.5;4133.5;13931;0
ЯНДЕКС;60;20240725;210000;4134.5;4139.5;4131;4134.5;16219;0
ЯНДЕКС;60;20240725;220000;4134.5;4135.5;4125;4129.5;12416;0
ЯНДЕКС;60;20240725;230000;4129.5;4138;4121;4137.5;14276;0
ЯНДЕКС;60;20240726;090000;4137.5;4137.5;4137.5;4137.5;1874;0
ЯНДЕКС;60;20240726;100000;4138;4176.5;4120.5;4166.5;392924;0
ЯНДЕКС;60;20240726;110000;4166.5;4172.5;4150;4158;147887;0
ЯНДЕКС;60;20240726;120000;4158;4164.5;4150;4160;89689;0
ЯНДЕКС;60;20240726;130000;4160;4169;4100;4116;436159;0
ЯНДЕКС;60;20240726;140000;4114;4118;4012;4013.5;550130;0
ЯНДЕКС;60;20240726;150000;4013.5;4020;3933;3972;1077377;0
ЯНДЕКС;60;20240726;160000;3971.5;4030;3960.5;4029;562812;0
ЯНДЕКС;60;20240726;170000;4029;4036;3986.5;4011.5;359507;0
ЯНДЕКС;60;20240726;180000;4010;4012.5;3979.5;3984;165108;0
ЯНДЕКС;60;20240726;190000;3977.5;3996;3961;3977.5;92978;0
ЯНДЕКС;60;20240726;200000;3979;3998;3976.5;3987;33964;0
ЯНДЕКС;60;20240726;210000;3986;3987;3951.5;3952;80153;0
ЯНДЕКС;60;20240726;220000;3951.5;3961.5;3931;3958;121044;0
ЯНДЕКС;60;20240726;230000;3958.5;3980;3939.5;3962.5;76383;0
ЯНДЕКС;60;20240729;090000;3935;3935;3935;3935;4781;0
ЯНДЕКС;60;20240729;100000;3934.5;3935;3810;3835;1283897;0
ЯНДЕКС;60;20240729;110000;3834;3847.5;3815;3821;370069;0
ЯНДЕКС;60;20240729;120000;3819;3820.5;3783;3804.5;651103;0
ЯНДЕКС;60;20240729;130000;3805;3843;3804;3813;314720;0
ЯНДЕКС;60;20240729;140000;3814;3875;3814;3869.5;286060;0
ЯНДЕКС;60;20240729;150000;3870;3904.5;3850;3887.5;435987;0
ЯНДЕКС;60;20240729;160000;3887;3932.5;3870;3911.5;435426;0
ЯНДЕКС;60;20240729;170000;3911.5;3918;3851;3854;312180;0
ЯНДЕКС;60;20240729;180000;3854;3871.5;3834;3840;188988;0
ЯНДЕКС;60;20240729;190000;3840;3853.5;3803;3833.5;191682;0
ЯНДЕКС;60;20240729;200000;3834.5;3855.5;3830.5;3852;63685;0
ЯНДЕКС;60;20240729;210000;3852.5;3866.5;3838;3847;65177;0
ЯНДЕКС;60;20240729;220000;3847;3858;3829;3850.5;61014;0
ЯНДЕКС;60;20240729;230000;3850;3886;3850;3867;66181;0
ЯНДЕКС;60;20240730;090000;3917;3917;3917;3917;18843;0
ЯНДЕКС;60;20240730;100000;3917;3944;3809;3896.5;1569973;0
ЯНДЕКС;60;20240730;110000;3896;3920;3873;3883.5;486484;0
ЯНДЕКС;60;20240730;120000;3884;3910.5;3880;3900;233791;0
ЯНДЕКС;60;20240730;130000;3899.5;3914.5;3887;3902.5;242164;0
ЯНДЕКС;60;20240730;140000;3902;3919;3895;3912;215566;0
ЯНДЕКС;60;20240730;150000;3912;3915;3900;3911.5;124176;0
ЯНДЕКС;60;20240730;160000;3911.5;3939.5;3905;3935.5;308766;0
ЯНДЕКС;60;20240730;170000;3937;3949;3881;3907.5;551144;0
ЯНДЕКС;60;20240730;180000;3909;3925;3895;3895;142432;0
ЯНДЕКС;60;20240730;190000;3901;3913.5;3900;3907;41079;0
ЯНДЕКС;60;20240730;200000;3907.5;3922;3902.5;3910;41988;0
ЯНДЕКС;60;20240730;210000;3910.5;3914.5;3903.5;3911.5;22375;0
ЯНДЕКС;60;20240730;220000;3911.5;3918;3905;3914.5;46448;0
ЯНДЕКС;60;20240730;230000;3914.5;3915.5;3908;3910;24899;0
ЯНДЕКС;60;20240731;090000;3915.5;3915.5;3915.5;3915.5;1696;0
ЯНДЕКС;60;20240731;100000;3916;3954.5;3902.5;3924;411584;0
ЯНДЕКС;60;20240731;110000;3923.5;3939;3917;3920;219007;0
ЯНДЕКС;60;20240731;120000;3920;3920;3865.5;3882.5;403484;0
ЯНДЕКС;60;20240731;130000;3883;3898;3882.5;3891;152409;0
ЯНДЕКС;60;20240731;140000;3892.5;3910;3881.5;3883.5;179706;0
ЯНДЕКС;60;20240731;150000;3883;3898;3868;3873.5;297661;0
ЯНДЕКС;60;20240731;160000;3873.5;3889.5;3871;3887.5;96740;0
ЯНДЕКС;60;20240731;170000;3887;3896;3883;3885.5;60113;0
ЯНДЕКС;60;20240731;180000;3884.5;3894.5;3875;3894;60232;0
ЯНДЕКС;60;20240731;190000;3895.5;3900;3887.5;3892.5;40503;0
ЯНДЕКС;60;20240731;200000;3893;3897.5;3885.5;3892.5;19423;0
ЯНДЕКС;60;20240731;210000;3892.5;3895;3886.5;3889;20530;0
ЯНДЕКС;60;20240731;220000;3888;3891;3876;3886;26143;0
ЯНДЕКС;60;20240731;230000;3886;3894.5;3880;3892;18313;0
ЯНДЕКС;60;20240801;090000;3895;3895;3895;3895;1019;0
ЯНДЕКС;60;20240801;100000;3894.5;3910;3867;3900.5;269572;0
ЯНДЕКС;60;20240801;110000;3900.5;3903;3885;3894.5;92292;0
ЯНДЕКС;60;20240801;120000;3895;3904.5;3892;3901;86985;0
ЯНДЕКС;60;20240801;130000;3899.5;3921;3899.5;3913;159843;0
ЯНДЕКС;60;20240801;140000;3912.5;3916;3890;3902.5;97507;0
ЯНДЕКС;60;20240801;150000;3902;3906.5;3891;3899.5;67966;0
ЯНДЕКС;60;20240801;160000;3897.5;3914;3895.5;3909;96046;0
ЯНДЕКС;60;20240801;170000;3909;3914;3893;3900.5;63383;0
ЯНДЕКС;60;20240801;180000;3900.5;3910;3889;3910;113282;0
ЯНДЕКС;60;20240801;190000;3909;3909;3895;3898;24098;0
ЯНДЕКС;60;20240801;200000;3898;3898;3880;3882.5;48173;0
ЯНДЕКС;60;20240801;210000;3882.5;3882.5;3861;3869;64613;0
ЯНДЕКС;60;20240801;220000;3870;3884.5;3865;3880.5;23662;0
ЯНДЕКС;60;20240801;230000;3880.5;3881;3870.5;3871.5;18165;0
ЯНДЕКС;60;20240802;090000;3871.5;3871.5;3871.5;3871.5;459;0
ЯНДЕКС;60;20240802;100000;3872;3874;3814;3840;462059;0
ЯНДЕКС;60;20240802;110000;3840;3840;3796.5;3802.5;346254;0
ЯНДЕКС;60;20240802;120000;3801.5;3817;3765.5;3795.5;461368;0
ЯНДЕКС;60;20240802;130000;3795.5;3803;3778.5;3789;125777;0
ЯНДЕКС;60;20240802;140000;3788;3788;3764.5;3779;183136;0
ЯНДЕКС;60;20240802;150000;3779;3790;3771.5;3783.5;115181;0
ЯНДЕКС;60;20240802;160000;3783;3797;3782;3785;85723;0
ЯНДЕКС;60;20240802;170000;3784;3821;3783;3796.5;229740;0
ЯНДЕКС;60;20240802;180000;3796.5;3804;3767;3775;128699;0
ЯНДЕКС;60;20240802;190000;3772.5;3781;3732;3738.5;231610;0
ЯНДЕКС;60;20240802;200000;3739.5;3749.5;3726;3741.5;102225;0
ЯНДЕКС;60;20240802;210000;3741.5;3750;3738.5;3742;46943;0
ЯНДЕКС;60;20240802;220000;3742;3746.5;3729;3734.5;39306;0
ЯНДЕКС;60;20240802;230000;3735;3735;3726;3728.5;52884;0
ЯНДЕКС;60;20240805;090000;3605.5;3605.5;3605.5;3605.5;24335;0
ЯНДЕКС;60;20240805;100000;3607;3657;3551;3611;1171483;0
ЯНДЕКС;60;20240805;110000;3612;3628;3575;3590;424935;0
ЯНДЕКС;60;20240805;120000;3590;3620;3565.5;3618;487345;0
ЯНДЕКС;60;20240805;130000;3618.5;3622.5;3585;3612;256567;0
